============================================================
Programa 2 - Cobertura de 14 elementos
Universo U = {1..25}, candidatos S15, alvos S14
Lower bound LP: |SB| >= 297,160
============================================================

[1/3] Gerando S15 (C(25,15) = 3,268,760 elementos)...
      OK em 9.5s | memoria: 13.1 MB

[2/3] Gerando S14 (C(25,14) = 4,457,400 elementos)...
      OK em 12.2s | memoria: 17.8 MB

[3/3] Executando Greedy Set Cover (p=14)...

[Greedy] p=14 | |S15|=3,268,760 | |Sp|=4,457,400
         Cobertura por X: C(15,14)=15
         Extensoes por Y: C(11,1)=11
         Lower bound |SB| >= 297,160

  Construindo indices... OK (5.1s)
  Estrategia: heap lazy (150 updates/iter estimados)
  iter= 13700 | |SB|=13,700 | cobertos=  4.6% | novos=   15 | loop=10.5s | ETA=217s
  iter= 13800 | |SB|=13,800 | cobertos=  4.6% | novos=   15 | loop=10.5s | ETA=217s
  iter= 13900 | |SB|=13,900 | cobertos=  4.7% | novos=   15 | loop=10.6s | ETA=216s
  iter= 14000 | |SB|=14,000 | cobertos=  4.7% | novos=   15 | loop=10.7s | ETA=217s
  iter= 14100 | |SB|=14,100 | cobertos=  4.7% | novos=   15 | loop=10.8s | ETA=216s
  iter= 14200 | |SB|=14,200 | cobertos=  4.8% | novos=   15 | loop=10.9s | ETA=216s
  iter= 14300 | |SB|=14,300 | cobertos=  4.8% | novos=   15 | loop=10.9s | ETA=216s
  iter= 14400 | |SB|=14,400 | cobertos=  4.8% | novos=   15 | loop=11.0s | ETA=216s
  iter= 14500 | |SB|=14,500 | cobertos=  4.9% | novos=   15 | loop=11.1s | ETA=216s
  iter= 14600 | |SB|=14,600 | cobertos=  4.9% | novos=   15 | loop=11.1s | ETA=216s
  iter= 14700 | |SB|=14,700 | cobertos=  4.9% | novos=   15 | loop=11.2s | ETA=216s
  iter= 14800 | |SB|=14,800 | cobertos=  5.0% | novos=   15 | loop=11.3s | ETA=215s
  iter= 14900 | |SB|=14,900 | cobertos=  5.0% | novos=   15 | loop=11.3s | ETA=214s
  iter= 15000 | |SB|=15,000 | cobertos=  5.0% | novos=   15 | loop=11.4s | ETA=214s
  iter= 15100 | |SB|=15,100 | cobertos=  5.1% | novos=   15 | loop=11.5s | ETA=214s
  iter= 15200 | |SB|=15,200 | cobertos=  5.1% | novos=   15 | loop=11.5s | ETA=214s
  iter= 15300 | |SB|=15,300 | cobertos=  5.1% | novos=   15 | loop=11.6s | ETA=213s
  iter= 15400 | |SB|=15,400 | cobertos=  5.2% | novos=   15 | loop=11.6s | ETA=213s
  iter= 15500 | |SB|=15,500 | cobertos=  5.2% | novos=   15 | loop=11.7s | ETA=213s
  iter= 15600 | |SB|=15,600 | cobertos=  5.2% | novos=   15 | loop=11.8s | ETA=212s
  iter= 15700 | |SB|=15,700 | cobertos=  5.3% | novos=   15 | loop=11.8s | ETA=212s
  iter= 15800 | |SB|=15,800 | cobertos=  5.3% | novos=   15 | loop=11.9s | ETA=211s
  iter= 15900 | |SB|=15,900 | cobertos=  5.4% | novos=   15 | loop=11.9s | ETA=211s
  iter= 16000 | |SB|=16,000 | cobertos=  5.4% | novos=   15 | loop=12.0s | ETA=211s
  iter= 16100 | |SB|=16,100 | cobertos=  5.4% | novos=   15 | loop=12.0s | ETA=210s
  iter= 16200 | |SB|=16,200 | cobertos=  5.5% | novos=   15 | loop=12.1s | ETA=210s
  iter= 16300 | |SB|=16,300 | cobertos=  5.5% | novos=   15 | loop=12.2s | ETA=210s
  iter= 16400 | |SB|=16,400 | cobertos=  5.5% | novos=   15 | loop=12.2s | ETA=210s
  iter= 16500 | |SB|=16,500 | cobertos=  5.6% | novos=   15 | loop=12.3s | ETA=209s
  iter= 16600 | |SB|=16,600 | cobertos=  5.6% | novos=   15 | loop=12.4s | ETA=209s
  iter= 16700 | |SB|=16,700 | cobertos=  5.6% | novos=   15 | loop=12.5s | ETA=209s
  iter= 16800 | |SB|=16,800 | cobertos=  5.7% | novos=   15 | loop=12.5s | ETA=209s
  iter= 16900 | |SB|=16,900 | cobertos=  5.7% | novos=   15 | loop=12.6s | ETA=209s
  iter= 17000 | |SB|=17,000 | cobertos=  5.7% | novos=   15 | loop=12.7s | ETA=209s
  iter= 17100 | |SB|=17,100 | cobertos=  5.8% | novos=   15 | loop=12.7s | ETA=209s
  iter= 17200 | |SB|=17,200 | cobertos=  5.8% | novos=   15 | loop=12.8s | ETA=209s
  iter= 17300 | |SB|=17,300 | cobertos=  5.8% | novos=   15 | loop=12.9s | ETA=208s
  iter= 17400 | |SB|=17,400 | cobertos=  5.9% | novos=   15 | loop=13.0s | ETA=208s
  iter= 17500 | |SB|=17,500 | cobertos=  5.9% | novos=   15 | loop=13.0s | ETA=208s
  iter= 17600 | |SB|=17,600 | cobertos=  5.9% | novos=   15 | loop=13.1s | ETA=208s
  iter= 17700 | |SB|=17,700 | cobertos=  6.0% | novos=   15 | loop=13.2s | ETA=208s
  iter= 17800 | |SB|=17,800 | cobertos=  6.0% | novos=   15 | loop=13.2s | ETA=207s
  iter= 17900 | |SB|=17,900 | cobertos=  6.0% | novos=   15 | loop=13.3s | ETA=207s
  iter= 18000 | |SB|=18,000 | cobertos=  6.1% | novos=   15 | loop=13.4s | ETA=207s
  iter= 18100 | |SB|=18,100 | cobertos=  6.1% | novos=   15 | loop=13.4s | ETA=207s
  iter= 18200 | |SB|=18,200 | cobertos=  6.1% | novos=   15 | loop=13.6s | ETA=208s
  iter= 18300 | |SB|=18,300 | cobertos=  6.2% | novos=   15 | loop=13.7s | ETA=208s
  iter= 18400 | |SB|=18,400 | cobertos=  6.2% | novos=   15 | loop=13.8s | ETA=208s
  iter= 18500 | |SB|=18,500 | cobertos=  6.2% | novos=   15 | loop=13.8s | ETA=209s
  iter= 18600 | |SB|=18,600 | cobertos=  6.3% | novos=   15 | loop=13.9s | ETA=209s
  iter= 18700 | |SB|=18,700 | cobertos=  6.3% | novos=   15 | loop=14.0s | ETA=209s
  iter= 18800 | |SB|=18,800 | cobertos=  6.3% | novos=   15 | loop=14.1s | ETA=209s
  iter= 18900 | |SB|=18,900 | cobertos=  6.4% | novos=   15 | loop=14.2s | ETA=209s
  iter= 19000 | |SB|=19,000 | cobertos=  6.4% | novos=   15 | loop=14.3s | ETA=209s
  iter= 19100 | |SB|=19,100 | cobertos=  6.4% | novos=   15 | loop=14.4s | ETA=209s
  iter= 19200 | |SB|=19,200 | cobertos=  6.5% | novos=   15 | loop=14.5s | ETA=209s
  iter= 19300 | |SB|=19,300 | cobertos=  6.5% | novos=   15 | loop=14.5s | ETA=209s
  iter= 19400 | |SB|=19,400 | cobertos=  6.5% | novos=   15 | loop=14.6s | ETA=210s
  iter= 19500 | |SB|=19,500 | cobertos=  6.6% | novos=   15 | loop=14.7s | ETA=209s
  iter= 19600 | |SB|=19,600 | cobertos=  6.6% | novos=   15 | loop=14.8s | ETA=209s
  iter= 19700 | |SB|=19,700 | cobertos=  6.6% | novos=   15 | loop=14.9s | ETA=209s
  iter= 19800 | |SB|=19,800 | cobertos=  6.7% | novos=   15 | loop=15.0s | ETA=210s
